codigo_sku;nome_produto;marca;tamanho;peso_oz;categoria;alergenos;codigo_barras;data_lancamento
BR-00078;Tresol Hot Chilli Sauce;Tresol;750 mL;2.65;Alimentos > Condimentos;;5281685054235;31/10/2021
BR-00079;Plexum Kitchen Cleaner;Plexum;100 mL;3.53;Casa > Limpeza > Superfícies;;4188805929620;27/10/2019
BR-00080;Nexpur Smooth & Shine Conditioner;Nexpur;400 mL;1.76;Cuidados Pessoais > Cabelo > Condicionador;castanhas,soja,crustáceos;9473834735973;07/03/2023
BR-00081;Primus Intensive Moisturiser;Primus;500 mL;10.58;Cuidados Pessoais > Rosto > Hidratação;soja;9240758181410;19/10/2019
BR-00082;Primus Intensive Moisturiser;Primus;100 mL;10.58;Cuidados Pessoais > Rosto > Hidratação;;3750606853612;16/03/2022
BR-00083;Toreva Gentle Face Wash;Toreva;75 mL;8.82;Cuidados Pessoais > Rosto > Limpeza;trigo;0472779010434;05/09/2019
BR-00084;Alteva Stain Remover;Alteva;300 mL;2.65;Casa > Lavanderia;soja,amendoim;1036971179802;12/10/2023
BR-00085;Hevara Dishwasher Tablets;Hevara;100 mL;7.05;Casa > Limpeza > Louças;leite,castanhas,soja;9621851888886;25/03/2018
BR-00086;Vanta Foaming Hand Wash;Vanta;1000 mL;10.58;Cuidados Pessoais > Sabonete Líquido;amendoim,leite;5153195205851;19/12/2019
BR-00087;Nuarix Hot Chilli Sauce;Nuarix;400 mL;3.53;Alimentos > Condimentos;ovos;7043030548688;24/04/2023
BR-00088;Krisol Daily Moisturiser;Krisol;1000 mL;5.29;Cuidados Pessoais > Rosto > Hidratação;castanhas,leite;5415667652779;13/02/2022
BR-00089;Helix Fabric Softener;Helix;300 mL;2.65;Casa > Lavanderia;glúten,trigo,amendoim;5115447962752;06/01/2023
00090;Lumeva Nourishing Body Cleanser;Lumeva;300 mL;7.05;Cuidados Pessoais > Banho;;1658202970219;24/08/2020
BR-00091;Vivara Mustard Sauce;Vivara;300 mL;1.76;Alimentos > Condimentos;trigo,crustáceos,castanhas,glúten;7192856543107;02/02/2020
BR-00092;Motivo Disinfectant Spray;Motivo;500 mL;2.65;Casa > Limpeza > Superfícies;amendoim,crustáceos;3947312172711;02/08/2021
BR-00093;Hevara Mustard Sauce;Hevara;75 mL;17.64;Alimentos > Condimentos;amendoim,glúten,trigo,castanhas;2583132370589;20/02/2022
BR-00094;Tresol Disinfectant Spray;Tresol;750 mL;2.65;Casa > Limpeza > Superfícies;;4678669125172;24/03/2023
BR-00095;Zenpur Vinegar Dressing;Zenpur;100 mL;17.64;Alimentos > Condimentos;trigo,glúten,peixe,amendoim;0182422535848;20/11/2018
BR-00096;Teraxis Night Cream;Teraxis;500 mL;7.05;Cuidados Pessoais > Rosto > Hidratação;amendoim;9818299229955;18/06/2018
BR-00097;Vanta Moisturising Body Wash;Vanta;1000 mL;7.05;Cuidados Pessoais > Banho;;6907844736475;26/10/2018
BR-00098;Nexpur Salted Crackers;Nexpur;400 mL;10.58;Alimentos > Petiscos;crustáceos,soja,castanhas;9255562588157;17/09/2020
BR-00099;Nuvelo Multi-Surface Spray;Nuvelo;400 mL;5.29;Casa > Limpeza > Superfícies;ovos;0469632595320;03/08/2023
BR-00100;Solaris Laundry Capsules;Solaris;200 mL;14.11;Casa > Lavanderia;;1687339500471;12/04/2023
BR-00101;Zephyr Lightweight Lotion;Zephyr;75 mL;10.58;Cuidados Pessoais > Rosto > Hidratação;amendoim;5650609835845;29/10/2018
BR-00102;Orinum Aloe Hand Wash;Orinum;500 mL;7.05;Cuidados Pessoais > Sabonete Líquido;glúten,ovos,trigo,leite;6558523986805;05/07/2018
BR-00103;Hevara Refreshing Shower Gel;Hevara;250 mL;14.11;Cuidados Pessoais > Banho;crustáceos,trigo,gergelim,glúten;9526949588870;12/05/2021
BR-00104;Vivara Multi-Surface Spray;Vivara;250 mL;2.65;Casa > Limpeza > Superfícies;glúten,amendoim,leite;9749930972896;07/04/2022
BR-00105;Vanta Leave-In Conditioner;Vanta;750 mL;2.65;Cuidados Pessoais > Cabelo > Condicionador;leite;7562636897025;26/10/2023
BR-00106;Toreva Hydrating Face Wash;Toreva;1000 mL;14.11;Cuidados Pessoais > Rosto > Limpeza;peixe,castanhas,trigo,soja;8585497334842;10/07/2020
BR-00107;Hevara SPF Moisturiser;Hevara;150 mL;14.11;Cuidados Pessoais > Rosto > Hidratação;crustáceos,castanhas;8441986652401;24/03/2021
BR-00108;Zenpur Salted Crackers;Zenpur;400 mL;7.05;Alimentos > Petiscos;soja,glúten,amendoim;8421993308331;04/08/2018
BR-00109;Qualis Repair Shampoo;Qualis;400 mL;2.65;Cuidados Pessoais > Cabelo > Shampoo;leite;8267734540192;09/08/2020
BR-00110;Kaleo Liquid Laundry Detergent;Kaleo;300 mL;3.53;Casa > Lavanderia;;6724004991549;05/02/2023
BR-00111;Alteva Vinegar Dressing;Alteva;400 mL;3.53;Alimentos > Condimentos;crustáceos,amendoim,soja,peixe;1527420549326;19/07/2022
BR-00112;Toreva Aloe Hand Wash;Toreva;75 mL;10.58;Cuidados Pessoais > Sabonete Líquido;;2275304637452;21/05/2021
BR-00113;Zephyr Eco Dish Liquid;Zephyr;200 mL;8.82;Casa > Limpeza > Louças;leite;1742684145934;16/06/2020
BR-00114;Brightway Volumising Conditioner;Brightway;400 mL;8.82;Cuidados Pessoais > Cabelo > Condicionador;gergelim,crustáceos,soja;3918785191080;02/09/2023
BR-00115;Novix Hydrating Face Wash;Novix;100 mL;3.53;Cuidados Pessoais > Rosto > Limpeza;gergelim,crustáceos;1397187072869;15/02/2023
BR-00116;Luxara Dish Liquid;Luxara;400 mL;7.05;Casa > Limpeza > Louças;;6403910651807;10/10/2018
BR-00117;Elaris Multi-Surface Spray;Elaris;300 mL;3.53;Casa > Limpeza > Superfícies;peixe;5676618251285;29/05/2022
BR-00118;Glicen Laundry Powder;Glicen;150 mL;1.76;Casa > Lavanderia;castanhas,leite,crustáceos;4786863375245;12/02/2020
BR-00119;XXX-Vanta Salted Crackers;Vanta;1000 mL;10.58;Alimentos > Petiscos;leite,soja,gergelim,glúten;1907903067385;08/06/2020
BR-00120;Primus Refreshing Shower Gel;Primus;200 mL;5.29;Cuidados Pessoais > Banho;castanhas,glúten,soja,trigo;2836440892688;24/07/2023
BR-00121;Gleam Nourishing Body Cleanser;Gleam;1000 mL;10.58;Cuidados Pessoais > Banho;castanhas,peixe,gergelim,ovos;4628733427084;18/08/2022
BR-00122;Alteva Aloe Hand Wash;Alteva;100 mL;10.58;Cuidados Pessoais > Sabonete Líquido;amendoim;3517518304690;11/06/2018
BR-00123;Krisol Volumising Shampoo;Krisol;750 mL;17.64;Cuidados Pessoais > Cabelo > Shampoo;crustáceos;3540331739363;07/09/2020
BR-00124;Arovia Fabric Softener;Arovia;200 mL;10.58;Casa > Lavanderia;gergelim,castanhas,amendoim;4587717535569;07/07/2018
BR-00125;Tolvex Dishwasher Tablets;Tolvex;100 mL;1.76;Casa > Limpeza > Louças;gergelim,peixe;4235369378545;25/06/2023
00126;Cryston Rice Cakes;Cryston;100 mL;8.82;Alimentos > Petiscos;trigo;8728080100626;05/08/2020
BR-00127;Zephyr Volumising Shampoo;Zephyr;150 mL;17.64;Cuidados Pessoais > Cabelo > Shampoo;castanhas,leite,crustáceos;7008860084843;12/03/2018
BR-00128;Kaleo Laundry Capsules;Kaleo;75 mL;2.65;Casa > Lavanderia;trigo,soja,gergelim,amendoim;8454615679335;13/05/2021
BR-00129;Gleam Tomato Ketchup;Gleam;1000 mL;1.76;Alimentos > Condimentos;soja;6668700217650;26/01/2019
BR-00130;Plexum Liquid Laundry Detergent;Plexum;150 mL;14.11;Casa > Lavanderia;leite,crustáceos;4890250392613;10/05/2021
BR-00131;Cristalix Smooth & Shine Conditioner;Cristalix;750 mL;10.58;Cuidados Pessoais > Cabelo > Condicionador;castanhas,peixe,trigo,gergelim;1850163159997;13/06/2022
BR-00132;Teraxis 24hr Roll-On Deodorant;Teraxis;200 mL;14.11;Cuidados Pessoais > Desodorante;soja,castanhas,peixe;6296194311426;06/04/2022
BR-00133;Tolvex Mixed Nuts Blend;Tolvex;300 mL;8.82;Alimentos > Petiscos;ovos,glúten;0475412126783;30/09/2023
BR-00134;Luminos Antibacterial Hand Wash;Luminos;75 mL;8.82;Cuidados Pessoais > Sabonete Líquido;ovos,castanhas,peixe,leite;4661839826221;06/01/2021
BR-00135;Solaris SPF Moisturiser;Solaris;100 mL;2.65;Cuidados Pessoais > Rosto > Hidratação;peixe;4647154379932;19/02/2023
BR-00136;Frostine Volumising Shampoo;Frostine;50 mL;10.58;Cuidados Pessoais > Cabelo > Shampoo;glúten,peixe;5756924593757;29/12/2019
BR-00137;Elaris Fragrance-Free Hand Wash;Elaris;1000 mL;14.11;Cuidados Pessoais > Sabonete Líquido;soja,castanhas,peixe,trigo;6519398280733;01/12/2022
BR-00138;Purelix Daily Moisturiser;Purelix;1000 mL;14.11;Cuidados Pessoais > Rosto > Hidratação;amendoim;3426617979688;07/09/2023
BR-00139;Novix Rice Cakes;Novix;50 mL;8.82;Alimentos > Petiscos;glúten,ovos,gergelim,peixe;3529096561013;25/11/2020
BR-00140;Tolvex Hydrating Face Wash;Tolvex;500 mL;17.64;Cuidados Pessoais > Rosto > Limpeza;glúten,soja,crustáceos,trigo;6798250714610;21/04/2019
BR-00141;Zenpur Mixed Nuts Blend;Zenpur;200 mL;8.82;Alimentos > Petiscos;soja,gergelim,crustáceos;5717751401059;24/03/2019
BR-00142;Tolvex Mayonnaise;Tolvex;150 mL;17.64;Alimentos > Condimentos;gergelim;2586736226603;19/03/2020
BR-00143;Sovara Disinfectant Spray;Sovara;300 mL;1.76;Casa > Limpeza > Superfícies;soja;4191825537140;28/06/2023
BR-00144;Aevum Fabric Softener;Aevum;300 mL;10.58;Casa > Lavanderia;ovos,castanhas,gergelim,peixe;7924991251346;25/04/2019
BR-00145;Nuarix Repair Conditioner;Nuarix;100 mL;17.64;Cuidados Pessoais > Cabelo > Condicionador;peixe,trigo,glúten;6278282742251;22/01/2023
BR-00146;Zenpur Dish Liquid;Zenpur;50 mL;14.11;Casa > Limpeza > Louças;soja;6887676772196;07/05/2018
BR-00147;Vanta Brightening Face Wash;Vanta;200 mL;5.29;Cuidados Pessoais > Rosto > Limpeza;amendoim,trigo,crustáceos,glúten;7881914858078;14/06/2020
BR-00148;Tolvex Antibacterial Hand Wash;Tolvex;1000 mL;5.29;Cuidados Pessoais > Sabonete Líquido;leite,crustáceos;4517133959625;25/07/2019
BR-00149;Oralix Oil Control Face Wash;Oralix;750 mL;8.82;Cuidados Pessoais > Rosto > Limpeza;amendoim,gergelim,trigo,crustáceos;4494812604222;19/10/2020
BR-00150;Cristalix Repair Conditioner;Cristalix;1000 mL;10.58;Cuidados Pessoais > Cabelo > Condicionador;trigo,amendoim,peixe;6711684577590;11/01/2018
BR-00151;Glicen Salted Crackers;Glicen;400 mL;8.82;Alimentos > Petiscos;;8636374545896;19/06/2019
00152;Qualis Heavy Duty Dish Soap;Qualis;1000 mL;1.76;Casa > Limpeza > Louças;;1701277063246;14/10/2019
BR-00153;DUMMY-Gleam Daily Moisturiser;Gleam;250 mL;7.05;Cuidados Pessoais > Rosto > Hidratação;;5206436110374;16/11/2018
BR-00154;Plexum Smooth & Shine Conditioner;Plexum;500 mL;14.11;Cuidados Pessoais > Cabelo > Condicionador;;0516271361110;07/07/2021
BR-00155;Tresol Sport Deodorant;Tresol;300 mL;3.53;Cuidados Pessoais > Desodorante;ovos;8909275326971;08/06/2020
BR-00156;Tresol Hydrating Shampoo;Tresol;75 mL;10.58;Cuidados Pessoais > Cabelo > Shampoo;peixe,castanhas;2341389994046;21/04/2020
BR-00157;Primus Stain Remover;Primus;150 mL;10.58;Casa > Lavanderia;leite,soja;7613791805520;04/05/2022
BR-00158;Vivara Heavy Duty Dish Soap;Vivara;500 mL;3.53;Casa > Limpeza > Louças;ovos,leite,glúten;0430068486667;04/12/2018
BR-00159;Novix Vinegar Dressing;Novix;750 mL;3.53;Alimentos > Condimentos;ovos,amendoim;1832856914632;26/08/2018
BR-00160;Sovara Gentle Face Wash;Sovara;75 mL;14.11;Cuidados Pessoais > Rosto > Limpeza;;2102027588429;04/03/2022
BR-00161;Glicen Repair Conditioner;Glicen;75 mL;1.76;Cuidados Pessoais > Cabelo > Condicionador;peixe,amendoim;8149177850796;15/11/2019
BR-00162;Verdant 48hr Spray Deodorant;Verdant;75 mL;2.65;Cuidados Pessoais > Desodorante;gergelim;0003075622085;14/09/2022
00163;Cristalix Brightening Face Wash;Cristalix;300 mL;8.82;Cuidados Pessoais > Rosto > Limpeza;ovos,castanhas;1802380617446;02/09/2021
BR-00164;Cryston Colour Protect Shampoo;Cryston;50 mL;8.82;Cuidados Pessoais > Cabelo > Shampoo;amendoim;9493759738323;27/01/2018
BR-00165;Plexum Antibacterial Hand Wash;Plexum;500 mL;8.82;Cuidados Pessoais > Sabonete Líquido;;5064138367027;20/02/2021
BR-00166;Plexum Hydrating Shampoo;Plexum;500 mL;10.58;Cuidados Pessoais > Cabelo > Shampoo;crustáceos,ovos;9182619906230;09/04/2021
BR-00167;Cladis SPF Moisturiser;Cladis;250 mL;8.82;Cuidados Pessoais > Rosto > Hidratação;amendoim;3291212775610;07/01/2022
BR-00168;Frostine Exfoliating Face Scrub;Frostine;400 mL;7.05;Cuidados Pessoais > Rosto > Limpeza;;1249035213569;05/10/2023
BR-00169;Verdant Nourishing Body Cleanser;Verdant;100 mL;1.76;Cuidados Pessoais > Banho;crustáceos,gergelim,soja;1712100323659;11/12/2018
BR-00170;Verdant Eco Dish Liquid;Verdant;75 mL;1.76;Casa > Limpeza > Louças;;3721510702969;06/06/2022
BR-00171;Motivo Multi-Surface Spray;Motivo;1000 mL;10.58;Casa > Limpeza > Superfícies;castanhas;3244720999344;06/08/2023
BR-00172;Velaris Aloe Hand Wash;Velaris;50 mL;2.65;Cuidados Pessoais > Sabonete Líquido;castanhas,soja,glúten;6383806578756;20/08/2023
BR-00173;Nuvelo Sensitive Deodorant;Nuvelo;100 mL;1.76;Cuidados Pessoais > Desodorante;leite,castanhas,glúten,trigo;0407859321339;27/12/2020
BR-00174;Krisol Liquid Laundry Detergent;Krisol;150 mL;10.58;Casa > Lavanderia;trigo,glúten;3955905992936;10/07/2023
BR-00175;Kaleo Fabric Softener;Kaleo;400 mL;1.76;Casa > Lavanderia;;0393087059321;27/10/2021
BR-00176;Toreva Mixed Nuts Blend;Toreva;50 mL;1.76;Alimentos > Petiscos;glúten;2185156915458;13/07/2019
BR-00177;TEST-Teraxis Volumising Conditioner;Teraxis;400 mL;8.82;Cuidados Pessoais > Cabelo > Condicionador;gergelim;9539264422095;23/05/2022
BR-00178;Kaleo Dish Liquid;Kaleo;750 mL;8.82;Casa > Limpeza > Louças;soja,ovos,crustáceos,gergelim;5135521570437;19/10/2020
BR-00179;Zenpur Salted Crackers;Zenpur;200 mL;2.65;Alimentos > Petiscos;;0676267658614;18/05/2023
BR-00180;Nexpur Dishwasher Tablets;Nexpur;400 mL;2.65;Casa > Limpeza > Louças;;4054115262187;17/01/2019
00181;Lumeva Whitening Deodorant;Lumeva;400 mL;1.76;Cuidados Pessoais > Desodorante;trigo,peixe,glúten;0153368844431;28/01/2019
BR-00182;Clarity Deep Clean Body Wash;Clarity;500 mL;14.11;Cuidados Pessoais > Banho;leite;5061497310329;10/04/2021
BR-00183;Glova Repair Shampoo;Glova;200 mL;10.58;Cuidados Pessoais > Cabelo > Shampoo;crustáceos,amendoim,ovos;8625652704773;14/12/2020
BR-00184;Clarity Brightening Face Wash;Clarity;50 mL;3.53;Cuidados Pessoais > Rosto > Limpeza;;1586938068682;29/04/2023
BR-00185;Velaris Dishwasher Tablets;Velaris;200 mL;2.65;Casa > Limpeza > Louças;leite,gergelim,trigo;1722332061632;29/08/2019
BR-00186;Toreva Rinse Aid;Toreva;75 mL;2.65;Casa > Limpeza > Louças;gergelim,peixe,castanhas;4870998616226;15/02/2019
BR-00187;Arovia Colour Protect Shampoo;Arovia;75 mL;7.05;Cuidados Pessoais > Cabelo > Shampoo;castanhas,peixe,amendoim,soja;7997024629962;08/06/2018
