sku_id,product_name,brand,size_ml,weight_g,category,allergens,barcode,launch_date
00039,Clarity Multi-Surface Spray,Clarity,1000,50,Household > Surface Cleaner,wheat,9413186999388,2022-04-08
UK-00040,TEST-Frostine Glass Cleaner,Frostine,750,300,Household > Surface Cleaner,"gluten,milk",9133412328125,2018-01-11
UK-00041,Nuarix Foaming Hand Wash,Nuarix,750,400,Personal Care > Hand Wash,"milk,soy",4471349361835,2019-09-03
UK-00042,Purevex Night Cream,Purevex,50,100,Personal Care > Moisturiser,"gluten,peanuts",7174648877195,2018-06-13
UK-00043,Aevum Fragrance-Free Hand Wash,Aevum,200,50,Personal Care > Hand Wash,,3990490278744,2020-01-14
UK-00044,Teraxis Heavy Duty Dish Soap,Teraxis,400,75,Household > Dishwash,"tree nuts,fish,gluten",5125674680718,2021-07-12
UK-00045,Glova SPF Moisturiser,Glova,300,500,Personal Care > Moisturiser,,8760385977039,2020-12-29
UK-00046,Elaris Laundry Powder,Elaris,400,400,Household > Laundry,,0932480861317,2023-03-06
UK-00047,Solaris Volumising Shampoo,Solaris,200,500,Personal Care > Shampoo,"fish,shellfish",7378263982146,2022-08-27
UK-00048,Nuvelo Whitening Deodorant,Nuvelo,50,200,Personal Care > Deodorant,"gluten,shellfish",2787558867535,2020-09-05
UK-00049,Plexum Heavy Duty Dish Soap,Plexum,300,50,Household > Dishwash,"shellfish,fish",6270289517184,2023-02-15
UK-00050,Purelix Refreshing Shower Gel,Purelix,1000,100,Personal Care > Body Wash,,7459615865789,2018-05-28
UK-00051,Cristalix Dish Liquid,Cristalix,1000,200,Household > Dishwash,eggs,6117240050451,2022-03-16
UK-00052,Cristalix Moisturising Hand Wash,Cristalix,500,300,Personal Care > Hand Wash,"wheat,gluten,sesame,milk",9693792374742,2018-02-08
UK-00053,Solvix Bathroom Cleaner,Solvix,16.91,100,Household > Surface Cleaner,,7594647436719,2020-08-29
UK-00054,Zenpur Aloe Hand Wash,Zenpur,750,200,Personal Care > Hand Wash,"milk,fish",4090974395338,2020-10-23
UK-00055,Teraxis Mayonnaise,Teraxis,75,50,Food & Beverage > Condiments,"shellfish,milk",9521456232858,2023-12-15
UK-00056,Nexpur Fabric Softener,Nexpur,200,400,Household > Laundry,"tree nuts,eggs",7123685160487,2019-05-22
UK-00057,Solvix Bathroom Cleaner,Solvix,1000,200,Household > Surface Cleaner,"fish,tree nuts,eggs,sesame",3709859317464,2019-04-23
UK-00058,Vanta Deep Conditioner,Vanta,200,400,Personal Care > Conditioner,,1382675869267,2019-02-10
UK-00059,Purelix Disinfectant Spray,Purelix,200,50,Household > Surface Cleaner,"soy,shellfish",7351585064318,2023-02-06
UK-00060,Gleam Volumising Shampoo,Gleam,1000,50,Personal Care > Shampoo,,5329318393358,2019-08-28
UK-00061,Nuvelo Dish Liquid,Nuvelo,100,100,Household > Dishwash,"peanuts,wheat,eggs,tree nuts",0205395024024,2022-09-21
UK-00062,Tolvex Liquid Laundry Detergent,Tolvex,75,400,Household > Laundry,"tree nuts,sesame,eggs",7839084700765,2022-10-13
UK-00063,Solaris Tomato Ketchup,Solaris,400,75,Food & Beverage > Condiments,,5921249985697,2023-12-14
UK-00064,Primus Intensive Moisturiser,Primus,750,300,Personal Care > Moisturiser,,1836736576613,2021-07-04
UK-00065,Polvera Fragrance-Free Hand Wash,Polvera,200,250,Personal Care > Hand Wash,shellfish,1111615280981,2021-09-12
UK-00066,Purelix Tomato Ketchup,Purelix,250,300,Food & Beverage > Condiments,,4945198327316,2021-12-05
UK-00067,Glova Fabric Softener,Glova,200,150,Household > Laundry,"sesame,gluten,milk",9402445502292,2022-06-30
UK-00068,Tolvex Volumising Shampoo,Tolvex,1000,50,Personal Care > Shampoo,,8366752545995,2018-12-14
UK-00069,Nexpur Refreshing Shower Gel,Nexpur,25.36,50,Personal Care > Body Wash,,4767976438157,2022-10-27
UK-00070,DUMMY-Solvix Anti-Dandruff Shampoo,Solvix,1000,400,Personal Care > Shampoo,"peanuts,milk,soy,shellfish",9003432445105,2023-07-31
UK-00071,Kaleo Rice Cakes,Kaleo,100,300,Food & Beverage > Snacks,"soy,sesame,tree nuts,milk",6060715969669,2021-03-31
UK-00072,Luminos Repair Shampoo,Luminos,250,100,Personal Care > Shampoo,"shellfish,tree nuts,eggs,soy",1369681645351,2019-11-20
UK-00073,Teraxis Colour Protect Shampoo,Teraxis,75,500,Personal Care > Shampoo,"soy,tree nuts,sesame,shellfish",2312432921272,2023-03-16
UK-00074,Orinum Eco Dish Liquid,Orinum,1000,250,Household > Dishwash,"wheat,shellfish",1774490581477,2023-01-26
UK-00075,Vivara Moisturising Body Wash,Vivara,200,75,Personal Care > Body Wash,,9986798079354,2023-05-03
UK-00076,Oralix Laundry Powder,Oralix,400,75,Household > Laundry,"eggs,sesame",2037788925544,2022-05-06
UK-00077,Solvix Fragrance-Free Hand Wash,Solvix,750,50,Personal Care > Hand Wash,"eggs,tree nuts",1864492519254,2021-06-24
UK-00078,Tresol Hot Chilli Sauce,Tresol,750,75,Food & Beverage > Condiments,"sesame,fish",5281685054235,2021-10-31
UK-00079,Plexum Kitchen Cleaner,Plexum,100,100,Household > Surface Cleaner,,4188805929620,2019-10-27
UK-00080,Nexpur Smooth & Shine Conditioner,Nexpur,400,50,Personal Care > Conditioner,"tree nuts,soy,shellfish",9473834735973,2023-03-07
UK-00081,Primus Intensive Moisturiser,Primus,500,300,Personal Care > Moisturiser,soy,9240758181410,2019-10-19
UK-00082,Primus Intensive Moisturiser,Primus,100,300,Personal Care > Moisturiser,,3750606853612,2022-03-16
UK-00083,Toreva Gentle Face Wash,Toreva,75,250,Personal Care > Face Wash,wheat,0472779010434,2019-09-05
UK-00084,Alteva Stain Remover,Alteva,300,75,Household > Laundry,"soy,peanuts",1036971179802,2023-10-12
UK-00085,Hevara Dishwasher Tablets,Hevara,100,200,Household > Dishwash,"milk,tree nuts,soy",9621851888886,2018-03-25
UK-00086,Vanta Foaming Hand Wash,Vanta,1000,300,Personal Care > Hand Wash,"peanuts,milk",5153195205851,2019-12-19
UK-00087,Nuarix Hot Chilli Sauce,Nuarix,400,100,Food & Beverage > Condiments,eggs,7043030548688,2023-04-24
UK-00088,Krisol Daily Moisturiser,Krisol,1000,150,Personal Care > Moisturiser,"tree nuts,milk",5415667652779,2022-02-13
UK-00089,Helix Fabric Softener,Helix,300,75,Household > Laundry,"gluten,wheat,peanuts",5115447962752,2023-01-06
00090,Lumeva Nourishing Body Cleanser,Lumeva,300,200,Personal Care > Body Wash,,1658202970219,2020-08-24
UK-00091,Vivara Mustard Sauce,Vivara,300,50,Food & Beverage > Condiments,"wheat,shellfish,tree nuts,gluten",7192856543107,2020-02-02
UK-00092,Motivo Disinfectant Spray,Motivo,500,75,Household > Surface Cleaner,"peanuts,shellfish",3947312172711,2021-08-02
UK-00093,Hevara Mustard Sauce,Hevara,75,500,Food & Beverage > Condiments,"peanuts,gluten,wheat,tree nuts",2583132370589,2022-02-20
UK-00094,Tresol Disinfectant Spray,Tresol,750,75,Household > Surface Cleaner,,4678669125172,2023-03-24
UK-00095,Zenpur Vinegar Dressing,Zenpur,100,500,Food & Beverage > Condiments,"wheat,gluten,fish,peanuts",0182422535848,2018-11-20
UK-00096,Teraxis Night Cream,Teraxis,500,200,Personal Care > Moisturiser,peanuts,9818299229955,2018-06-18
UK-00097,Vanta Moisturising Body Wash,Vanta,1000,200,Personal Care > Body Wash,gluten,6907844736475,2018-10-26
UK-00098,Nexpur Salted Crackers,Nexpur,400,300,Food & Beverage > Snacks,"shellfish,soy,tree nuts",9255562588157,2020-09-17
UK-00099,Nuvelo Multi-Surface Spray,Nuvelo,400,150,Household > Surface Cleaner,eggs,0469632595320,2023-08-03
UK-00100,Solaris Laundry Capsules,Solaris,200,400,Household > Laundry,,1687339500471,2023-04-12
UK-00101,Zephyr Lightweight Lotion,Zephyr,75,300,Personal Care > Moisturiser,peanuts,5650609835845,2018-10-29
UK-00102,Orinum Aloe Hand Wash,Orinum,500,200,Personal Care > Hand Wash,"gluten,eggs,wheat,milk",6558523986805,2018-07-05
UK-00103,Hevara Refreshing Shower Gel,Hevara,250,400,Personal Care > Body Wash,"shellfish,wheat,sesame,gluten",9526949588870,2021-05-12
UK-00104,Vivara Multi-Surface Spray,Vivara,250,75,Household > Surface Cleaner,"gluten,peanuts,milk",9749930972896,2022-04-07
UK-00105,Vanta Leave-In Conditioner,Vanta,750,75,Personal Care > Conditioner,milk,7562636897025,2023-10-26
UK-00106,Toreva Hydrating Face Wash,Toreva,1000,400,Personal Care > Face Wash,"fish,tree nuts,wheat,soy",8585497334842,2020-07-10
UK-00107,Hevara SPF Moisturiser,Hevara,150,400,Personal Care > Moisturiser,"shellfish,tree nuts",8441986652401,2021-03-24
UK-00108,Zenpur Salted Crackers,Zenpur,400,200,Food & Beverage > Snacks,"soy,gluten,peanuts",8421993308331,2018-08-04
UK-00109,Qualis Repair Shampoo,Qualis,400,75,Personal Care > Shampoo,milk,8267734540192,2020-08-09
UK-00110,Kaleo Liquid Laundry Detergent,Kaleo,300,100,Household > Laundry,,6724004991549,2023-02-05
UK-00111,Alteva Vinegar Dressing,Alteva,400,100,Food & Beverage > Condiments,"shellfish,peanuts,soy,fish",1527420549326,2022-07-19
UK-00112,Toreva Aloe Hand Wash,Toreva,75,300,Personal Care > Hand Wash,,2275304637452,2021-05-21
UK-00113,Zephyr Eco Dish Liquid,Zephyr,200,250,Household > Dishwash,milk,1742684145934,2020-06-16
UK-00114,Brightway Volumising Conditioner,Brightway,400,250,Personal Care > Conditioner,"sesame,shellfish,soy",3918785191080,2023-09-02
UK-00115,Novix Hydrating Face Wash,Novix,100,100,Personal Care > Face Wash,"sesame,shellfish",1397187072869,2023-02-15
UK-00116,Luxara Dish Liquid,Luxara,400,200,Household > Dishwash,,6403910651807,2018-10-10
UK-00117,Elaris Multi-Surface Spray,Elaris,300,100,Household > Surface Cleaner,fish,5676618251285,2022-05-29
UK-00118,Glicen Laundry Powder,Glicen,150,50,Household > Laundry,,4786863375245,2020-02-12
UK-00119,XXX-Vanta Salted Crackers,Vanta,1000,300,Food & Beverage > Snacks,"milk,soy,sesame,gluten",1907903067385,2020-06-08
UK-00120,Primus Refreshing Shower Gel,Primus,200,150,Personal Care > Body Wash,"tree nuts,gluten,soy,wheat",2836440892688,2023-07-24
UK-00121,Gleam Nourishing Body Cleanser,Gleam,1000,300,Personal Care > Body Wash,"tree nuts,fish,sesame,eggs",4628733427084,2022-08-18
UK-00122,Alteva Aloe Hand Wash,Alteva,100,300,Personal Care > Hand Wash,peanuts,3517518304690,2018-06-11
UK-00123,Krisol Volumising Shampoo,Krisol,750,500,Personal Care > Shampoo,shellfish,3540331739363,2020-09-07
UK-00124,Arovia Fabric Softener,Arovia,200,300,Household > Laundry,"sesame,tree nuts,peanuts",4587717535569,2018-07-07
UK-00125,Tolvex Dishwasher Tablets,Tolvex,100,50,Household > Dishwash,"sesame,fish",4235369378545,2023-06-25
00126,Cryston Rice Cakes,Cryston,100,250,Food & Beverage > Snacks,wheat,8728080100626,2020-08-05
UK-00127,Zephyr Volumising Shampoo,Zephyr,150,500,Personal Care > Shampoo,"tree nuts,milk,shellfish",7008860084843,2018-03-12
UK-00128,Kaleo Laundry Capsules,Kaleo,75,75,Household > Laundry,"wheat,soy,sesame,peanuts",8454615679335,2021-05-13
UK-00129,Gleam Tomato Ketchup,Gleam,1000,50,Food & Beverage > Condiments,,6668700217650,2019-01-26
UK-00130,Plexum Liquid Laundry Detergent,Plexum,150,400,Household > Laundry,"milk,eggs",4890250392613,2021-05-10
UK-00131,Cristalix Smooth & Shine Conditioner,Cristalix,750,300,Personal Care > Conditioner,"tree nuts,fish,wheat,sesame",1850163159997,2022-06-13
UK-00132,Teraxis 24hr Roll-On Deodorant,Teraxis,200,400,Personal Care > Deodorant,"soy,tree nuts,fish",6296194311426,2022-04-06
UK-00133,Tolvex Mixed Nuts Blend,Tolvex,300,250,Food & Beverage > Snacks,"eggs,gluten",0475412126783,2023-09-30
UK-00134,Luminos Antibacterial Hand Wash,Luminos,75,250,Personal Care > Hand Wash,"eggs,tree nuts,fish,milk",4661839826221,2021-01-06
UK-00135,Solaris SPF Moisturiser,Solaris,100,75,Personal Care > Moisturiser,fish,4647154379932,2023-02-19
UK-00136,Frostine Volumising Shampoo,Frostine,50,300,Personal Care > Shampoo,"gluten,fish",5756924593757,2019-12-29
UK-00137,Elaris Fragrance-Free Hand Wash,Elaris,1000,400,Personal Care > Hand Wash,"soy,tree nuts,fish,wheat",6519398280733,2022-12-01
UK-00138,Purelix Daily Moisturiser,Purelix,1000,400,Personal Care > Moisturiser,peanuts,3426617979688,2023-09-07
UK-00139,Novix Rice Cakes,Novix,50,250,Food & Beverage > Snacks,"gluten,eggs,sesame,fish",3529096561013,2020-11-25
UK-00140,Tolvex Hydrating Face Wash,Tolvex,500,500,Personal Care > Face Wash,"gluten,soy,shellfish,wheat",6798250714610,2019-04-21
UK-00141,Zenpur Mixed Nuts Blend,Zenpur,200,250,Food & Beverage > Snacks,"soy,sesame,shellfish",5717751401059,2019-03-24
UK-00142,Tolvex Mayonnaise,Tolvex,150,500,Food & Beverage > Condiments,sesame,2586736226603,2020-03-19
UK-00143,Sovara Disinfectant Spray,Sovara,300,50,Household > Surface Cleaner,soy,4191825537140,2023-06-28
UK-00144,Aevum Fabric Softener,Aevum,300,300,Household > Laundry,"eggs,tree nuts,sesame,fish",7924991251346,2019-04-25
UK-00145,Nuarix Repair Conditioner,Nuarix,100,500,Personal Care > Conditioner,"fish,wheat,gluten",6278282742251,2023-01-22
UK-00146,Zenpur Dish Liquid,Zenpur,50,400,Household > Dishwash,soy,6887676772196,2018-05-07
UK-00147,Vanta Brightening Face Wash,Vanta,200,150,Personal Care > Face Wash,"peanuts,wheat,shellfish,gluten",7881914858078,2020-06-14
UK-00148,Tolvex Antibacterial Hand Wash,Tolvex,1000,150,Personal Care > Hand Wash,"milk,shellfish",4517133959625,2019-07-25
UK-00149,Oralix Oil Control Face Wash,Oralix,750,250,Personal Care > Face Wash,"peanuts,sesame,wheat,shellfish",4494812604222,2020-10-19
UK-00150,Cristalix Repair Conditioner,Cristalix,1000,300,Personal Care > Conditioner,"wheat,peanuts,fish",6711684577590,2018-01-11
UK-00151,Glicen Salted Crackers,Glicen,400,250,Food & Beverage > Snacks,,8636374545896,2019-06-19
00152,Qualis Heavy Duty Dish Soap,Qualis,1000,50,Household > Dishwash,,1701277063246,2019-10-14
UK-00153,TEST-Gleam Daily Moisturiser,Gleam,250,200,Personal Care > Moisturiser,,5206436110374,2018-11-16
UK-00154,Plexum Smooth & Shine Conditioner,Plexum,500,400,Personal Care > Conditioner,,0516271361110,2021-07-07
UK-00155,Tresol Sport Deodorant,Tresol,300,100,Personal Care > Deodorant,eggs,8909275326971,2020-06-08
UK-00156,Tresol Hydrating Shampoo,Tresol,75,300,Personal Care > Shampoo,"fish,tree nuts",2341389994046,2020-04-21
UK-00157,Primus Stain Remover,Primus,150,300,Household > Laundry,"milk,soy",7613791805520,2022-05-04
UK-00158,Vivara Heavy Duty Dish Soap,Vivara,500,100,Household > Dishwash,"eggs,milk,gluten",0430068486667,2018-12-04
UK-00159,Novix Vinegar Dressing,Novix,750,100,Food & Beverage > Condiments,"eggs,peanuts",1832856914632,2018-08-26
UK-00160,Sovara Gentle Face Wash,Sovara,75,400,Personal Care > Face Wash,"gluten,milk,peanuts,tree nuts",2102027588429,2022-03-04
UK-00161,Glicen Repair Conditioner,Glicen,75,50,Personal Care > Conditioner,"fish,peanuts",8149177850796,2019-11-15
UK-00162,Verdant 48hr Spray Deodorant,Verdant,75,75,Personal Care > Deodorant,sesame,0003075622085,2022-09-14
00163,Cristalix Brightening Face Wash,Cristalix,300,250,Personal Care > Face Wash,"eggs,tree nuts",1802380617446,2021-09-02
UK-00164,Cryston Colour Protect Shampoo,Cryston,50,250,Personal Care > Shampoo,peanuts,9493759738323,2018-01-27
UK-00165,Plexum Antibacterial Hand Wash,Plexum,500,250,Personal Care > Hand Wash,,5064138367027,2021-02-20
UK-00166,Plexum Hydrating Shampoo,Plexum,500,300,Personal Care > Shampoo,"shellfish,eggs",9182619906230,2021-04-09
UK-00167,Cladis SPF Moisturiser,Cladis,250,250,Personal Care > Moisturiser,"peanuts,soy,eggs",3291212775610,2022-01-07
UK-00168,Frostine Exfoliating Face Scrub,Frostine,400,200,Personal Care > Face Wash,,1249035213569,2023-10-05
UK-00169,Verdant Nourishing Body Cleanser,Verdant,100,50,Personal Care > Body Wash,"shellfish,sesame,soy",1712100323659,2018-12-11
UK-00170,Verdant Eco Dish Liquid,Verdant,75,50,Household > Dishwash,,3721510702969,2022-06-06
UK-00171,Motivo Multi-Surface Spray,Motivo,1000,300,Household > Surface Cleaner,tree nuts,3244720999344,2023-08-06
UK-00172,Velaris Aloe Hand Wash,Velaris,50,75,Personal Care > Hand Wash,"fish,wheat",6383806578756,2023-08-20
UK-00173,Nuvelo Sensitive Deodorant,Nuvelo,100,50,Personal Care > Deodorant,"gluten,soy",0407859321339,2020-12-27
UK-00174,Krisol Liquid Laundry Detergent,Krisol,150,300,Household > Laundry,"wheat,gluten",3955905992936,2023-07-10
UK-00175,Kaleo Fabric Softener,Kaleo,400,50,Household > Laundry,,0393087059321,2021-10-27
UK-00176,Toreva Mixed Nuts Blend,Toreva,50,50,Food & Beverage > Snacks,gluten,2185156915458,2019-07-13
UK-00177,XXX-Teraxis Volumising Conditioner,Teraxis,400,250,Personal Care > Conditioner,sesame,9539264422095,2022-05-23
UK-00178,Kaleo Dish Liquid,Kaleo,750,250,Household > Dishwash,"soy,eggs,shellfish,sesame",5135521570437,2020-10-19
UK-00179,Zenpur Salted Crackers,Zenpur,200,75,Food & Beverage > Snacks,,0676267658614,2023-05-18
UK-00180,Nexpur Dishwasher Tablets,Nexpur,400,75,Household > Dishwash,,4054115262187,2019-01-17
00181,Lumeva Whitening Deodorant,Lumeva,400,50,Personal Care > Deodorant,"wheat,fish,gluten",0153368844431,2019-01-28
UK-00182,Clarity Deep Clean Body Wash,Clarity,500,400,Personal Care > Body Wash,milk,5061497310329,2021-04-10
UK-00183,Glova Repair Shampoo,Glova,200,300,Personal Care > Shampoo,"shellfish,peanuts,eggs",8625652704773,2020-12-14
UK-00184,Clarity Brightening Face Wash,Clarity,50,100,Personal Care > Face Wash,,1586938068682,2023-04-29
UK-00185,Velaris Dishwasher Tablets,Velaris,200,75,Household > Dishwash,"milk,sesame,wheat",1722332061632,2019-08-29
UK-00186,Toreva Rinse Aid,Toreva,75,75,Household > Dishwash,"sesame,fish,tree nuts",4870998616226,2019-02-15
UK-00187,Arovia Colour Protect Shampoo,Arovia,75,200,Personal Care > Shampoo,"tree nuts,fish,peanuts,soy",7997024629962,2018-06-08
UK-00188,Nuarix Fragrance-Free Hand Wash,Nuarix,150,50,Personal Care > Hand Wash,"peanuts,tree nuts,milk",5444713247546,2022-09-04
UK-00189,Serafix Dish Liquid,Serafix,400,150,Household > Dishwash,"shellfish,sesame,tree nuts",0821486289020,2020-02-29
UK-00190,DUMMY-Cristalix Gentle Face Wash,Cristalix,50,400,Personal Care > Face Wash,,5345786103572,2023-01-02
UK-00191,Frosten Volumising Conditioner,Frosten,500,250,Personal Care > Conditioner,"wheat,peanuts",1406029333348,2022-08-05
UK-00192,Arovia Liquid Laundry Detergent,Arovia,1000,50,Household > Laundry,"wheat,gluten,milk",3494466574378,2021-05-22
UK-00193,Lumeva Vinegar Dressing,Lumeva,300,75,Food & Beverage > Condiments,,8589944171547,2021-08-24
UK-00194,Gleam SPF Moisturiser,Gleam,1000,200,Personal Care > Moisturiser,wheat,8309652074462,2022-07-16
UK-00195,Frosten Antibacterial Hand Wash,Frosten,750,150,Personal Care > Hand Wash,"soy,sesame",7584282417242,2020-01-20
UK-00196,Gleam Mustard Sauce,Gleam,2.54,150,Food & Beverage > Condiments,"soy,peanuts",6554947170998,2018-10-19
UK-00197,Primus Kitchen Cleaner,Primus,75,300,Household > Surface Cleaner,"peanuts,fish,milk,sesame",2235697252175,2021-09-24
UK-00198,Toreva Mayonnaise,Toreva,1000,50,Food & Beverage > Condiments,,7432927129664,2022-07-11
UK-00199,Motivo Foaming Hand Wash,Motivo,50,50,Personal Care > Hand Wash,"soy,tree nuts,milk,wheat",8300335421689,2021-06-07
UK-00200,Vanta Deep Conditioner,Vanta,200,200,Personal Care > Conditioner,"sesame,gluten,tree nuts",6257532603320,2020-05-15
UK-00201,Frosten Salted Crackers,Frosten,500,100,Food & Beverage > Snacks,,5064890901002,2019-04-20
00202,Motivo Foaming Hand Wash,Motivo,75,500,Personal Care > Hand Wash,"shellfish,wheat",3046184992615,2023-09-27
UK-00203,Glova Oat Protein Bar,Glova,200,75,Food & Beverage > Snacks,,7393483564200,2023-07-27
UK-00204,Qualis Exfoliating Face Scrub,Qualis,150,50,Personal Care > Face Wash,,1197218114373,2021-04-27
UK-00205,Oralix Intensive Moisturiser,Oralix,75,100,Personal Care > Moisturiser,,4556110022556,2022-11-28
UK-00206,Glicen Rinse Aid,Glicen,75,250,Household > Dishwash,"wheat,eggs",6674676212025,2019-03-01
UK-00207,Velaris Aloe Hand Wash,Velaris,750,400,Personal Care > Hand Wash,gluten,6590277167017,2020-12-07
UK-00208,Zephyr Mustard Sauce,Zephyr,1000,500,Food & Beverage > Condiments,"gluten,soy,tree nuts,peanuts",8916375628904,2018-02-17
UK-00209,Primus Mayonnaise,Primus,400,400,Food & Beverage > Condiments,eggs,7535408386638,2018-11-19
00210,Clarity Glass Cleaner,Clarity,400,75,Household > Surface Cleaner,"shellfish,tree nuts,eggs",7016608801997,2021-06-01
UK-00211,Aurova Stain Remover,Aurova,1000,400,Household > Laundry,"tree nuts,milk",3758997571139,2018-01-09
UK-00212,Teraxis Sport Deodorant,Teraxis,200,500,Personal Care > Deodorant,"tree nuts,eggs,milk,sesame",7261493316372,2020-02-20
UK-00213,Solven Granola Bar,Solven,300,50,Food & Beverage > Snacks,"eggs,shellfish,sesame,tree nuts",9827080869782,2019-12-27
UK-00214,Kaleo Oat Protein Bar,Kaleo,100,75,Food & Beverage > Snacks,"gluten,tree nuts,fish",6934654722695,2023-09-30
UK-00215,Toreva Lightweight Lotion,Toreva,500,150,Personal Care > Moisturiser,soy,9452288515874,2022-09-06
UK-00216,Elaris Vinegar Dressing,Elaris,300,50,Food & Beverage > Condiments,"eggs,milk,fish,gluten",0034244204382,2018-05-13
UK-00217,Solven Sensitive Deodorant,Solven,750,500,Personal Care > Deodorant,sesame,6384066658004,2020-10-26
