SKU_CD,PROD_NM,BRND,SZ,WT_GMS,CAT_CD,ALLRGY,EAN,DT_LNCH
IN00017,Nuvelo Repair लोशन Shampoo,Nuvelo,50ml,50,PC-SH,"wheat,peanuts",2786801128058,30/08/19
IN00018,Vanta Moisturising Hand Wash,Vanta,200ml,250,PC-HW,,5331586923229,16/08/22
IN00019,Tolvex Refreshing Shower Gel,Tolvex,250ml,300,PC-BW,peanuts,2160733754330,07/04/18
IN00020,Cladis Mayonnaise,Cladis,250ml,200,FB-CN,,4586850142948,06/06/18
IN00021,Sovara Colour Protect Shampoo,Sovara,250ml,250,PC-SH,"gluten,sesame,eggs",6934060883560,14/10/18
IN00022,Lumeva Mustard Sauce,Lumeva,250ml,75,FB-CN,"sesame,peanuts",6564823662998,17/05/21
IN00023,Zephyr Aloe Hand पाउडर Wash,Zephyr,200ml,200,PC-HW,fish,9957773872147,13/10/23
IN00024,Qualis फोम Vinegar Dressing,Qualis,75ml,150,FB-CN,"soy,gluten",2003791769369,18/07/23
IN00025,Brightway Moisturising Hand Wash,Brightway,1000ml,50,PC-HW,,6328708317270,16/12/23
IN00026,TEST-Toreva Stain Remover,Toreva,400ml,500,HH-LN,"sesame,shellfish,wheat",7743487347147,18/08/20
IN00027,Toreva SPF Moisturiser,Toreva,500ml,75,PC-MS,wheat,3623166587603,27/04/20
IN00028,Arovia Foaming Hand Wash,Arovia,750ml,50,PC-HW,"fish,shellfish,milk,wheat",4668893734677,29/04/18
IN00029,Polvera Fragrance-Free Hand Wash,Polvera,1000ml,300,PC-HW,shellfish,2980699016279,15/01/20
IN00030,Motivo Nourishing Body Cleanser,Motivo,250ml,150,PC-BW,"tree nuts,gluten,fish",4641708053101,08/05/18
IN00031,Luminos तेल Oil Control Face Wash,Luminos,750ml,100,PC-FW,wheat,7193745299129,28/06/21
IN00032,Luminos Colour Protect Shampoo,Luminos,200ml,300,PC-SH,"soy,eggs,gluten",1491905865181,29/10/21
IN00033,Solaris Deep Clean Body Wash,Solaris,75ml,300,PC-BW,"fish,sesame",6284987769455,02/10/20
IN00034,Orinum Anti-Dandruff Shampoo,Orinum,150ml,400,PC-SH,"gluten,fish,tree nuts,milk",7527354549489,11/02/18
IN00035,Helix Laundry Powder,Helix,150ml,300,HH-LN,"sesame,soy,shellfish",7701436349574,15/12/23
IN00036,Tolvex Sensitive Deodorant,Tolvex,500ml,250,PC-DO,"shellfish,peanuts",4431351823370,06/02/21
IN00037,Krisol Oat Protein Bar,Krisol,500ml,200,FB-SN,,3435240824005,11/04/21
IN00038,Teraxis Mixed Nuts Blend,Teraxis,400ml,75,FB-SN,,9477752047118,30/06/22
00039,Clarity Multi-Surface Spray,Clarity,1000ml,50,HH-SC,wheat,9413186999388,08/04/22
IN00040,DUMMY-Frostine पाउडर Glass Cleaner,Frostine,750ml,300,HH-SC,"gluten,milk",9133412328125,11/01/18
IN00041,Nuarix Foaming Hand Wash,Nuarix,750ml,400,PC-HW,"milk,soy",4471349361835,03/09/19
IN00042,Purevex Night Cream,Purevex,50ml,100,PC-MS,"gluten,peanuts",7174648877195,13/06/18
IN00043,Aevum Fragrance-Free Hand Wash,Aevum,200ml,50,PC-HW,,3990490278744,14/01/20
IN00044,Teraxis Heavy Duty Dish Soap,Teraxis,400ml,75,HH-DW,"tree nuts,fish,gluten",5125674680718,12/07/21
IN00045,Glova SPF Moisturiser,Glova,300ml,500,PC-MS,"fish,sesame",8760385977039,29/12/20
IN00046,Elaris Laundry लोशन Powder,Elaris,400ml,400,HH-LN,,0932480861317,06/03/23
IN00047,Solaris Volumising Shampoo,Solaris,200ml,500,PC-SH,"fish,shellfish",7378263982146,27/08/22
IN00048,Nuvelo Whitening साबुन Deodorant,Nuvelo,50ml,200,PC-DO,"gluten,shellfish",2787558867535,05/09/20
IN00049,Plexum Heavy Duty Dish Soap,Plexum,300ml,50,HH-DW,"shellfish,fish",6270289517184,15/02/23
IN00050,Purelix Refreshing Shower Gel,Purelix,1000ml,100,PC-BW,,7459615865789,28/05/18
IN00051,Cristalix Dish Liquid,Cristalix,1000ml,200,HH-DW,eggs,6117240050451,16/03/22
IN00052,Cristalix Moisturising Hand Wash,Cristalix,500ml,300,PC-HW,"wheat,gluten,sesame,milk",9693792374742,08/02/18
IN00053,Solvix Bathroom Cleaner,Solvix,500ml,100,HH-SC,,7594647436719,29/08/20
IN00054,Zenpur Aloe Hand शैम्पू Wash,Zenpur,750ml,200,PC-HW,"milk,fish",4090974395338,23/10/20
IN00055,Teraxis Mayonnaise,Teraxis,75ml,50,FB-CN,"shellfish,milk",9521456232858,15/12/23
IN00056,Nexpur Fabric Softener,Nexpur,200ml,400,HH-LN,"tree nuts,eggs",7123685160487,22/05/19
IN00057,Solvix Bathroom Cleaner,Solvix,1000ml,200,HH-SC,"fish,tree nuts,eggs,sesame",3709859317464,23/04/19
IN00058,Vanta Deep Conditioner,Vanta,200ml,400,PC-CD,,1382675869267,10/02/19
IN00059,Purelix Disinfectant Spray,Purelix,200ml,50,HH-SC,"soy,shellfish",7351585064318,06/02/23
IN00060,Gleam सीरम Volumising Shampoo,Gleam,1000ml,50,PC-SH,,5329318393358,28/08/19
IN00061,Nuvelo Dish Liquid,Nuvelo,100ml,100,HH-DW,"peanuts,wheat,eggs,tree nuts",0205395024024,21/09/22
IN00062,Tolvex Liquid Laundry Detergent,Tolvex,75ml,400,HH-LN,"tree nuts,sesame,eggs",7839084700765,13/10/22
IN00063,Solaris Tomato शैम्पू Ketchup,Solaris,400ml,75,FB-CN,,5921249985697,14/12/23
IN00064,Primus Intensive Moisturiser,Primus,750ml,300,PC-MS,,1836736576613,04/07/21
IN00065,Polvera Fragrance-Free लोशन Hand Wash,Polvera,200ml,250,PC-HW,shellfish,1111615280981,12/09/21
IN00066,Purelix Tomato Ketchup,Purelix,250ml,300,FB-CN,,4945198327316,05/12/21
IN00067,Glova Fabric Softener,Glova,200ml,150,HH-LN,"sesame,gluten,milk",9402445502292,30/06/22
IN00068,Tolvex Volumising Shampoo,Tolvex,1000ml,50,PC-SH,,8366752545995,14/12/18
IN00069,Nexpur Refreshing Shower क्रीम Gel,Nexpur,750ml,50,PC-BW,,4767976438157,27/10/22
IN00070,XXX-Solvix Anti-Dandruff सीरम Shampoo,Solvix,1000ml,400,PC-SH,"peanuts,milk,soy,shellfish",9003432445105,31/07/23
IN00071,Kaleo Rice Cakes,Kaleo,100ml,300,FB-SN,"soy,sesame,tree nuts,milk",6060715969669,31/03/21
IN00072,Luminos Repair साबुन Shampoo,Luminos,250ml,100,PC-SH,"shellfish,tree nuts,eggs,soy",1369681645351,20/11/19
IN00073,Teraxis Colour Protect Shampoo,Teraxis,75ml,500,PC-SH,"soy,tree nuts,sesame,shellfish",2312432921272,16/03/23
IN00074,Orinum Eco Dish Liquid,Orinum,1000ml,250,HH-DW,"wheat,shellfish",1774490581477,26/01/23
IN00075,Vivara तेल Moisturising Body Wash,Vivara,200ml,75,PC-BW,,9986798079354,03/05/23
IN00076,Oralix Laundry Powder,Oralix,400ml,75,HH-LN,"eggs,sesame",2037788925544,06/05/22
IN00077,Solvix Fragrance-Free Hand Wash,Solvix,750ml,50,PC-HW,"eggs,tree nuts",1864492519254,24/06/21
IN00078,Tresol Hot सीरम Chilli Sauce,Tresol,750ml,75,FB-CN,"eggs,sesame,soy,shellfish",5281685054235,31/10/21
IN00079,Plexum Kitchen Cleaner,Plexum,100ml,100,HH-SC,,4188805929620,27/10/19
IN00080,Nexpur Smooth & Shine Conditioner,Nexpur,400ml,50,PC-CD,"tree nuts,soy,shellfish",9473834735973,07/03/23
IN00081,Primus Intensive Moisturiser,Primus,500ml,300,PC-MS,soy,9240758181410,19/10/19
IN00082,Primus Intensive Moisturiser,Primus,100ml,300,PC-MS,,3750606853612,16/03/22
IN00083,Toreva Gentle Face Wash,Toreva,75ml,250,PC-FW,wheat,0472779010434,05/09/19
IN00084,Alteva Stain Remover,Alteva,300ml,75,HH-LN,"soy,peanuts",1036971179802,12/10/23
IN00085,Hevara Dishwasher Tablets,Hevara,100ml,200,HH-DW,"milk,tree nuts,soy",9621851888886,25/03/18
IN00086,Vanta साबुन Foaming Hand Wash,Vanta,1000ml,300,PC-HW,"peanuts,milk",5153195205851,19/12/19
IN00087,Nuarix Hot Chilli Sauce,Nuarix,400ml,100,FB-CN,eggs,7043030548688,24/04/23
IN00088,Krisol Daily Moisturiser,Krisol,1000ml,150,PC-MS,"tree nuts,milk",5415667652779,13/02/22
IN00089,Helix Fabric Softener,Helix,300ml,75,HH-LN,"gluten,wheat,peanuts",5115447962752,06/01/23
00090,Lumeva Nourishing Body Cleanser,Lumeva,300ml,200,PC-BW,,1658202970219,24/08/20
IN00091,Vivara Mustard Sauce,Vivara,300ml,50,FB-CN,"wheat,shellfish,tree nuts,gluten",7192856543107,02/02/20
IN00092,Motivo Disinfectant Spray,Motivo,500ml,75,HH-SC,"peanuts,shellfish",3947312172711,02/08/21
IN00093,Hevara Mustard Sauce,Hevara,75ml,500,FB-CN,"peanuts,gluten,wheat,tree nuts",2583132370589,20/02/22
IN00094,Tresol Disinfectant क्रीम Spray,Tresol,750ml,75,HH-SC,,4678669125172,24/03/23
IN00095,Zenpur Vinegar Dressing,Zenpur,100ml,500,FB-CN,"wheat,gluten,fish,peanuts",0182422535848,20/11/18
IN00096,Teraxis Night Cream,Teraxis,500ml,200,PC-MS,peanuts,9818299229955,18/06/18
IN00097,Vanta Moisturising Body Wash,Vanta,1000ml,200,PC-BW,,6907844736475,26/10/18
IN00098,Nexpur Salted Crackers,Nexpur,400ml,300,FB-SN,"shellfish,soy,tree nuts",9255562588157,17/09/20
IN00099,Nuvelo Multi-Surface शैम्पू Spray,Nuvelo,400ml,150,HH-SC,eggs,0469632595320,03/08/23
IN00100,Solaris Laundry Capsules,Solaris,200ml,400,HH-LN,,1687339500471,12/04/23
IN00101,Zephyr फोम Lightweight Lotion,Zephyr,75ml,300,PC-MS,peanuts,5650609835845,29/10/18
IN00102,Orinum Aloe Hand Wash,Orinum,500ml,200,PC-HW,"gluten,eggs,wheat,milk",6558523986805,05/07/18
IN00103,Hevara Refreshing Shower Gel,Hevara,250ml,400,PC-BW,"shellfish,wheat,sesame,gluten",9526949588870,12/05/21
IN00104,Vivara Multi-Surface फोम Spray,Vivara,250ml,75,HH-SC,"gluten,peanuts,milk",9749930972896,07/04/22
IN00105,Vanta Leave-In Conditioner,Vanta,750ml,75,PC-CD,milk,7562636897025,26/10/23
IN00106,Toreva Hydrating लोशन Face Wash,Toreva,1000ml,400,PC-FW,"fish,tree nuts,wheat,soy",8585497334842,10/07/20
IN00107,Hevara SPF जेल Moisturiser,Hevara,150ml,400,PC-MS,"shellfish,tree nuts",8441986652401,24/03/21
IN00108,Zenpur Salted क्रीम Crackers,Zenpur,400ml,200,FB-SN,"soy,gluten,peanuts",8421993308331,04/08/18
IN00109,Qualis Repair Shampoo,Qualis,400ml,75,PC-SH,milk,8267734540192,09/08/20
IN00110,Kaleo Liquid Laundry Detergent,Kaleo,300ml,100,HH-LN,,6724004991549,05/02/23
IN00111,Alteva Vinegar Dressing,Alteva,400ml,100,FB-CN,"shellfish,peanuts,soy,fish",1527420549326,19/07/22
IN00112,Toreva Aloe Hand Wash,Toreva,75ml,300,PC-HW,,2275304637452,21/05/21
IN00113,Zephyr Eco Dish Liquid,Zephyr,200ml,250,HH-DW,milk,1742684145934,16/06/20
IN00114,Brightway Volumising Conditioner,Brightway,400ml,250,PC-CD,"sesame,shellfish,soy",3918785191080,02/09/23
IN00115,Novix Hydrating Face Wash,Novix,100ml,100,PC-FW,"sesame,shellfish",1397187072869,15/02/23
IN00116,Luxara Dish Liquid,Luxara,400ml,200,HH-DW,,6403910651807,10/10/18
IN00117,Elaris Multi-Surface फोम Spray,Elaris,300ml,100,HH-SC,fish,5676618251285,29/05/22
IN00118,Glicen क्रीम Laundry Powder,Glicen,150ml,50,HH-LN,"milk,soy,eggs",4786863375245,12/02/20
IN00119,TEST-Vanta Salted Crackers,Vanta,1000ml,300,FB-SN,"milk,soy,sesame,gluten",1907903067385,08/06/20
IN00120,Primus Refreshing Shower सीरम Gel,Primus,200ml,150,PC-BW,"tree nuts,gluten,soy,wheat",2836440892688,24/07/23
IN00121,Gleam Nourishing Body Cleanser,Gleam,1000ml,300,PC-BW,"tree nuts,fish,sesame,eggs",4628733427084,18/08/22
IN00122,Alteva Aloe Hand Wash,Alteva,100ml,300,PC-HW,peanuts,3517518304690,11/06/18
IN00123,Krisol Volumising Shampoo,Krisol,750ml,500,PC-SH,shellfish,3540331739363,07/09/20
IN00124,Arovia Fabric Softener,Arovia,200ml,300,HH-LN,"sesame,tree nuts,peanuts",4587717535569,07/07/18
IN00125,Tolvex Dishwasher Tablets,Tolvex,100ml,50,HH-DW,"sesame,fish",4235369378545,25/06/23
00126,Cryston Rice Cakes,Cryston,100ml,250,FB-SN,wheat,8728080100626,05/08/20
IN00127,Zephyr Volumising Shampoo,Zephyr,150ml,500,PC-SH,"tree nuts,milk,shellfish",7008860084843,12/03/18
IN00128,Kaleo Laundry Capsules,Kaleo,75ml,75,HH-LN,"wheat,soy,sesame,peanuts",8454615679335,13/05/21
IN00129,Gleam Tomato Ketchup,Gleam,1000ml,50,FB-CN,"shellfish,peanuts,sesame,wheat",6668700217650,26/01/19
IN00130,Plexum स्प्रे Liquid Laundry Detergent,Plexum,150ml,400,HH-LN,,4890250392613,10/05/21
IN00131,Cristalix Smooth & Shine Conditioner,Cristalix,750ml,300,PC-CD,"tree nuts,fish,wheat,sesame",1850163159997,13/06/22
IN00132,Teraxis सीरम 24hr Roll-On Deodorant,Teraxis,200ml,400,PC-DO,"soy,tree nuts,fish",6296194311426,06/04/22
IN00133,Tolvex Mixed Nuts Blend,Tolvex,300ml,250,FB-SN,"eggs,gluten",0475412126783,30/09/23
IN00134,Luminos Antibacterial Hand Wash,Luminos,75ml,250,PC-HW,"eggs,tree nuts,fish,milk",4661839826221,06/01/21
IN00135,Solaris SPF Moisturiser,Solaris,100ml,75,PC-MS,fish,4647154379932,19/02/23
IN00136,Frostine Volumising Shampoo,Frostine,50ml,300,PC-SH,"gluten,fish",5756924593757,29/12/19
IN00137,Elaris Fragrance-Free Hand Wash,Elaris,1000ml,400,PC-HW,"soy,tree nuts,fish,wheat",6519398280733,01/12/22
IN00138,Purelix Daily Moisturiser,Purelix,1000ml,400,PC-MS,peanuts,3426617979688,07/09/23
IN00139,Novix Rice Cakes,Novix,50ml,250,FB-SN,"gluten,eggs,sesame,fish",3529096561013,25/11/20
IN00140,Tolvex Hydrating Face Wash,Tolvex,500ml,500,PC-FW,"gluten,soy,shellfish,wheat",6798250714610,21/04/19
IN00141,Zenpur फोम Mixed Nuts Blend,Zenpur,200ml,250,FB-SN,"soy,sesame,shellfish",5717751401059,24/03/19
IN00142,Tolvex पाउडर Mayonnaise,Tolvex,150ml,500,FB-CN,sesame,2586736226603,19/03/20
IN00143,Sovara Disinfectant Spray,Sovara,300ml,50,HH-SC,soy,4191825537140,28/06/23
IN00144,Aevum Fabric Softener,Aevum,300ml,300,HH-LN,"eggs,tree nuts,sesame,fish",7924991251346,25/04/19
IN00145,Nuarix Repair Conditioner,Nuarix,100ml,500,PC-CD,"fish,wheat,gluten",6278282742251,22/01/23
IN00146,Zenpur Dish Liquid,Zenpur,50ml,400,HH-DW,soy,6887676772196,07/05/18
IN00147,Vanta Brightening Face Wash,Vanta,200ml,150,PC-FW,"peanuts,wheat,shellfish,gluten",7881914858078,14/06/20
IN00148,Tolvex Antibacterial Hand Wash,Tolvex,1000ml,150,PC-HW,"milk,shellfish",4517133959625,25/07/19
IN00149,Oralix Oil Control Face Wash,Oralix,750ml,250,PC-FW,"peanuts,sesame,wheat,shellfish",4494812604222,19/10/20
IN00150,Cristalix Repair Conditioner,Cristalix,1000ml,300,PC-CD,"wheat,peanuts,fish",6711684577590,11/01/18
IN00151,Glicen Salted Crackers,Glicen,400ml,250,FB-SN,,8636374545896,19/06/19
00152,Qualis Heavy Duty Dish Soap,Qualis,1000ml,50,HH-DW,,1701277063246,14/10/19
IN00153,TEST-Gleam शैम्पू Daily Moisturiser,Gleam,250ml,200,PC-MS,,5206436110374,16/11/18
IN00154,Plexum Smooth & Shine Conditioner,Plexum,500ml,400,PC-CD,,0516271361110,07/07/21
IN00155,Tresol Sport Deodorant,Tresol,300ml,100,PC-DO,eggs,8909275326971,08/06/20
IN00156,Tresol Hydrating Shampoo,Tresol,75ml,300,PC-SH,"fish,tree nuts",2341389994046,21/04/20
IN00157,Primus Stain Remover,Primus,150ml,300,HH-LN,"milk,soy",7613791805520,04/05/22
IN00158,Vivara Heavy Duty Dish Soap,Vivara,500ml,100,HH-DW,"eggs,milk,gluten",0430068486667,04/12/18
IN00159,Novix Vinegar Dressing,Novix,750ml,100,FB-CN,"eggs,peanuts",1832856914632,26/08/18
IN00160,Sovara Gentle Face Wash,Sovara,75ml,400,PC-FW,"sesame,milk,wheat",2102027588429,04/03/22
IN00161,Glicen फोम Repair Conditioner,Glicen,75ml,50,PC-CD,"fish,peanuts",8149177850796,15/11/19
IN00162,Verdant 48hr Spray Deodorant,Verdant,75ml,75,PC-DO,sesame,0003075622085,14/09/22
00163,Cristalix साबुन Brightening Face Wash,Cristalix,300ml,250,PC-FW,"eggs,tree nuts",1802380617446,02/09/21
IN00164,Cryston स्प्रे Colour Protect Shampoo,Cryston,50ml,250,PC-SH,peanuts,9493759738323,27/01/18
IN00165,Plexum Antibacterial Hand Wash,Plexum,500ml,250,PC-HW,,5064138367027,20/02/21
IN00166,Plexum Hydrating स्प्रे Shampoo,Plexum,500ml,300,PC-SH,"shellfish,eggs",9182619906230,09/04/21
IN00167,Cladis SPF Moisturiser,Cladis,250ml,250,PC-MS,,3291212775610,07/01/22
IN00168,Frostine Exfoliating Face स्प्रे Scrub,Frostine,400ml,200,PC-FW,,1249035213569,05/10/23
IN00169,Verdant Nourishing Body Cleanser,Verdant,100ml,50,PC-BW,"shellfish,sesame,soy",1712100323659,11/12/18
IN00170,Verdant Eco Dish Liquid,Verdant,75ml,50,HH-DW,,3721510702969,06/06/22
IN00171,Motivo Multi-Surface Spray,Motivo,1000ml,300,HH-SC,tree nuts,3244720999344,06/08/23
IN00172,Velaris Aloe Hand Wash,Velaris,50ml,75,PC-HW,"soy,peanuts,tree nuts,eggs",6383806578756,20/08/23
IN00173,Nuvelo Sensitive Deodorant,Nuvelo,100ml,50,PC-DO,"tree nuts,fish,soy,peanuts",0407859321339,27/12/20
IN00174,Krisol Liquid Laundry तेल Detergent,Krisol,150ml,300,HH-LN,"wheat,gluten",3955905992936,10/07/23
IN00175,Kaleo Fabric Softener,Kaleo,400ml,50,HH-LN,,0393087059321,27/10/21
IN00176,Toreva Mixed Nuts Blend,Toreva,50ml,50,FB-SN,gluten,2185156915458,13/07/19
IN00177,XXX-Teraxis Volumising Conditioner,Teraxis,400ml,250,PC-CD,sesame,9539264422095,23/05/22
IN00178,Kaleo Dish Liquid,Kaleo,750ml,250,HH-DW,"soy,eggs,shellfish,sesame",5135521570437,19/10/20
IN00179,Zenpur सीरम Salted Crackers,Zenpur,200ml,75,FB-SN,,0676267658614,18/05/23
IN00180,Nexpur Dishwasher फोम Tablets,Nexpur,400ml,75,HH-DW,,4054115262187,17/01/19
00181,Lumeva Whitening Deodorant,Lumeva,400ml,50,PC-DO,"wheat,fish,gluten",0153368844431,28/01/19
IN00182,Clarity Deep Clean Body Wash,Clarity,500ml,400,PC-BW,milk,5061497310329,10/04/21
IN00183,Glova Repair Shampoo,Glova,200ml,300,PC-SH,"shellfish,peanuts,eggs",8625652704773,14/12/20
IN00184,Clarity Brightening Face तेल Wash,Clarity,50ml,100,PC-FW,,1586938068682,29/04/23
IN00185,Velaris Dishwasher Tablets,Velaris,200ml,75,HH-DW,"milk,sesame,wheat",1722332061632,29/08/19
IN00186,Toreva Rinse Aid,Toreva,75ml,75,HH-DW,"sesame,fish,tree nuts",4870998616226,15/02/19
IN00187,Arovia Colour Protect जेल Shampoo,Arovia,75ml,200,PC-SH,"tree nuts,fish,peanuts,soy",7997024629962,08/06/18
IN00188,Nuarix Fragrance-Free Hand Wash,Nuarix,150ml,50,PC-HW,"peanuts,tree nuts,milk",5444713247546,04/09/22
IN00189,Serafix साबुन Dish Liquid,Serafix,400ml,150,HH-DW,"shellfish,sesame,tree nuts",0821486289020,29/02/20
IN00190,DUMMY-Cristalix Gentle लोशन Face Wash,Cristalix,50ml,400,PC-FW,,5345786103572,02/01/23
IN00191,Frosten Volumising स्प्रे Conditioner,Frosten,500ml,250,PC-CD,sesame,1406029333348,05/08/22
IN00192,Arovia Liquid Laundry Detergent,Arovia,1000ml,50,HH-LN,"wheat,gluten,milk",3494466574378,22/05/21
IN00193,Lumeva Vinegar Dressing,Lumeva,300ml,75,FB-CN,,8589944171547,24/08/21
IN00194,Gleam SPF Moisturiser,Gleam,1000ml,200,PC-MS,wheat,8309652074462,16/07/22
IN00195,Frosten Antibacterial Hand Wash,Frosten,750ml,150,PC-HW,"soy,sesame",7584282417242,20/01/20
IN00196,Gleam Mustard Sauce,Gleam,75ml,150,FB-CN,"soy,peanuts",6554947170998,19/10/18
IN00197,Primus Kitchen Cleaner,Primus,75ml,300,HH-SC,"fish,eggs",2235697252175,24/09/21
IN00198,Toreva Mayonnaise,Toreva,1000ml,50,FB-CN,,7432927129664,11/07/22
IN00199,Motivo Foaming Hand Wash,Motivo,50ml,50,PC-HW,"soy,tree nuts,milk,wheat",8300335421689,07/06/21
IN00200,Vanta Deep Conditioner,Vanta,200ml,200,PC-CD,"sesame,gluten,tree nuts",6257532603320,15/05/20
IN00201,Frosten Salted Crackers,Frosten,500ml,100,FB-SN,,5064890901002,20/04/19
00202,Motivo Foaming Hand Wash,Motivo,75ml,500,PC-HW,"shellfish,wheat",3046184992615,27/09/23
IN00203,Glova Oat Protein Bar,Glova,200ml,75,FB-SN,"tree nuts,shellfish",7393483564200,27/07/23
IN00204,Qualis Exfoliating Face Scrub,Qualis,150ml,50,PC-FW,,1197218114373,27/04/21
IN00205,Oralix पाउडर Intensive Moisturiser,Oralix,75ml,100,PC-MS,,4556110022556,28/11/22
IN00206,Glicen Rinse Aid,Glicen,75ml,250,HH-DW,"wheat,eggs",6674676212025,01/03/19
IN00207,Velaris Aloe Hand Wash,Velaris,750ml,400,PC-HW,gluten,6590277167017,07/12/20
IN00208,Zephyr Mustard पाउडर Sauce,Zephyr,1000ml,500,FB-CN,"gluten,soy,tree nuts,peanuts",8916375628904,17/02/18
IN00209,Primus क्रीम Mayonnaise,Primus,400ml,400,FB-CN,eggs,7535408386638,19/11/18
00210,Clarity Glass Cleaner,Clarity,400ml,75,HH-SC,"shellfish,tree nuts,eggs",7016608801997,01/06/21
IN00211,Aurova पाउडर Stain Remover,Aurova,1000ml,400,HH-LN,"tree nuts,milk",3758997571139,09/01/18
IN00212,Teraxis Sport Deodorant,Teraxis,200ml,500,PC-DO,"tree nuts,eggs,milk,sesame",7261493316372,20/02/20
IN00213,Solven Granola Bar,Solven,300ml,50,FB-SN,"eggs,shellfish,sesame,tree nuts",9827080869782,27/12/19
IN00214,Kaleo Oat Protein Bar,Kaleo,100ml,75,FB-SN,"gluten,tree nuts,fish",6934654722695,30/09/23
IN00215,Toreva Lightweight क्रीम Lotion,Toreva,500ml,150,PC-MS,soy,9452288515874,06/09/22
IN00216,Elaris Vinegar Dressing,Elaris,300ml,50,FB-CN,"eggs,milk,fish,gluten",0034244204382,13/05/18
IN00217,Solven पाउडर Sensitive Deodorant,Solven,750ml,500,PC-DO,"shellfish,milk",6384066658004,26/10/20
IN00218,Arovia Hydrating Face Wash,Arovia,400ml,150,PC-FW,"gluten,sesame",9334721228162,16/06/18
IN00219,Luxara Fragrance-Free Hand Wash,Luxara,200ml,100,PC-HW,gluten,4057202590941,03/07/23
IN00220,Zenpur Eco Dish Liquid,Zenpur,75ml,250,HH-DW,"soy,wheat,eggs,fish",8268861533552,17/01/22
IN00221,Krisol Night Cream,Krisol,750ml,500,PC-MS,"sesame,milk,eggs",5739930561644,04/03/21
IN00222,Arovia Sensitive Skin Body Wash,Arovia,250ml,500,PC-BW,"shellfish,gluten,milk,wheat",3581128801337,04/10/22
00223,Novix क्रीम Volumising Shampoo,Novix,300ml,75,PC-SH,milk,7501102481931,25/11/20
IN00224,Orinum Foaming Hand लोशन Wash,Orinum,1000ml,300,PC-HW,"soy,tree nuts,fish,eggs",1809190158145,19/05/21
IN00225,Elaris साबुन Dish Liquid,Elaris,400ml,300,HH-DW,"milk,shellfish,wheat",8326842450882,03/08/19
IN00226,Zephyr Hydrating Shampoo,Zephyr,750ml,300,PC-SH,"sesame,eggs,peanuts,gluten",5368222394310,13/01/20
IN00227,Oralix Vinegar Dressing,Oralix,500ml,400,FB-CN,"eggs,peanuts,gluten,wheat",1397552314914,03/03/20
IN00228,Orinum Sensitive Deodorant,Orinum,250ml,200,PC-DO,"wheat,tree nuts,sesame,soy",2053364525779,30/12/22
IN00229,Solaris Sport Deodorant,Solaris,500ml,75,PC-DO,gluten,1428341108091,18/07/22
IN00230,Vanta जेल Dishwasher Tablets,Vanta,500ml,200,HH-DW,"sesame,shellfish,wheat,gluten",6394278816581,13/02/18
IN00231,Lumeva Mayonnaise,Lumeva,1000ml,100,FB-CN,"wheat,shellfish,gluten,eggs",9927503731457,16/08/20
IN00232,Alteva Refreshing Shower Gel,Alteva,250ml,300,PC-BW,"shellfish,milk,sesame",5184498926655,15/11/18
